Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Becken (Bauwerk);Ein Becken ist ein Bauwerk, das als künstliche Vertiefung oder Einmuldung mit einer gebauten Umfassung errichtet ist. Becken können unterschiedliche Formen und Größen haben und werden entsprechend ihrem Einsatzzweck gestaltet.;Ein Becken dient in der Regel dazu, Wasser oder andere Flüssigkeiten aufzunehmen.;;;
Befestigungsanlage;Eine Befestigungsanlage ist ein Baukomplex, der zur Verteidigung eines Ortes oder einer Landschaft und zum Schutz gegen Zerstörung errichtet wurde.;;;;
Befund (Archäologie);Ein Befund ist eine aussagefähige Beobachtung in archäologischen Fundsituationen. Befunde können Hinweise auf menschliche, aber auch auf natürliche Aktivitäten geben, die in Form von mehr oder weniger deutlich unterscheidbaren Verfärbungen, Schichtbildungen und Strukturen erkennbar sind.;;;;
Befund nicht interpretierbar;;;;;
Beigabennische;;;Benutzt in Kombination mit den jeweiligen Grabtyp;;
Benefiziarierstation;Eine Benefiziarierstation ist eine militärische Anlage, in der Benefiziarier, aus ihren Stammeinheiten abkommandierte Unteroffiziere, an den Fernstraßen des Römischen Reiches Polizeifunktionen wahrnehmen.;Die Stationen liegen an Straßenkreuzungen, Flussübergängen und anderen neuralgischen Punkten, sie sind befestigt und weisen nur wenige Gebäude innerhalb der Befestigung auf.;;;
Bergbaugebiet;Ein Bergbaugebiet ist ein offener Raum, in dem die  vorhandenen Bodenschätze abgebaut werden.;;;;
Bergfried;Ein Bergfried ist ein Wehrturm, der als Hauptturm einer Burg im Gegensatz zu einem Wohnturm nur eingeschränkt bewohnbar war.;"Die Übergänge zwischen Bergfried und Wohnturm sind allerdings fließend. Zu berücksichtigen ist auch, dass die Benennung ""Bergfried"" für einen Turm mit vorrangiger Funktion als Wehrturm und vor allem als Statussymbol erst der deutschsprachigen Burgenliteratur des 19. Jahrhunderts entstammt.";;;
Bergwerk;Ein Bergwerk ist ein Betrieb, der der Gewinnung und Verarbeitung von Steinen und Erden dient.;Die Rohstoffe können im Tagebau oder im Tiefbau gewonnen werden. Zu einem Bergwerk können mehrere Tagesanlagen und Schachtanlagen gehören.;"Benutzt für den Rohstoff gewinnenden Betrieb; für das gesamte Gelände eines Bergwerks siehe Bergwerksgelände.";;
Bergwerksschacht;Ein Bergwerksschacht ist der Bestandteil einer Untertageanlage, der senkrecht, oder seltener auch schräg, Lagerstätten erschließt.;;;;
Bergwerksstollen;Ein Bergwerksstollen ist ein Stollen, der tunnelförmig, waagerecht oder leicht ansteigend verläuft und von der Erdoberfläche aus die Verbindung zu einer Lagerstätte herstellt.;;;;
Berme;Eine Berme ist ein Erdbauwerk, das in Form eines ebenen oder schwach geneigten Absatzes zwischen dem inneren Rand eines Grabens und dem äußeren Fuß eines Walles oder einer Wehrmauer gestaltet ist.;;;;
Bestattungsplatz;Ein Bestattungsplatz ist ein Baukomplex, auf dem Verstorbene beigesetzt werden. ;;;;
Bildstock (Bauwerk);Ein Bildstock ist ein Bauwerk, das mit einem religiösen Bild versehen ist und im Freien aufgestellt wird. Es ist häufig ein Flurdenkmal.;;;;
Bioturbation;;;;;
Bleihütte (Wirtschaft);Eine Bleihütte ist ein Hüttenwerk, in dem Blei geschmolzen und weiterverarbeitet wird.;;;;
Bohrloch;;;;;
Bombentrichter;Ein Bombentrichter ist ein Explosionskrater, der durch den Einschlag einer Bombe entstanden ist.;;;;
Brandgrab;Ein Brandgrab ist ein Grab, in dem die Überreste von verbrannten Toten bestattet werden.;;;;
Brandgrubengrab;Ein Brandgrubengrab ist ein Brandgrab, in dessen Grabgrube sich kein Behältnis befindet. Der Leichenbrand wird vermischt mit Scheiterhaufenresten, teilweise auch mit Grabbeigaben, direkt in die Grube gefüllt.;;;;
Brandschüttungsgrab;Ein Brandschüttungsgrab ist ein Urnengrab, in dem sich aufbewahrt in einem Behältnis, der größte Teil des Leichenbrandes in einem Behältnis befindet, über das jedoch weitere Scheiterhaufenrückstände, vermischt mit Leichenbrandresten und teilweise Beigaben, geschüttet werden.;;;;
Brauerei;Eine Brauerei ist ein Betrieb, in dem eine oder mehrere Anlagen zum Brauen von Bier untergebracht sind und in dem das Bier abgefüllt wird.;;;;
Brennraum (Ofen);;;;;
Brennraumboden;;;;;
Brücke (Bauwerk);Eine Brücke ist ein Bauwerk, das natürliche oder künstliche Hindernisse überspannt und über das ein Verkehrsweg führt.;;"Benutzt für ein Bauwerk, das natürliche oder künstliche Hindernisse überspannt; für ein unterirdisches Bauwerk, dessen lichte Weite weniger als zwei Meter misst, siehe Durchlass (Unterirdisches Bauwerk), für ein unterirdisches Bauwerk, dessen lichte Weite mehr als zwei Meter misst, siehe Unterführung und Tunnel.";;
Brunnen;Ein Brunnen ist ein Bauwerk und Erdbauwerk, durch das Grundwasser zur Erdoberfläche gefördert wird.;;;;
Brunnenfassung;;;;;
Brunnenschacht;Ein Brunnenschacht ist ein Schacht und der Bestandteil eines Schachtbrunnens, der als Röhre bis auf den Grund des Brunnens führt.;;;;
Brunnenstube;Eine Brunnenstube ist eine Quellfassung, die das Quellwasser durch Einhausung vor Verschmutzung schützt.;Teile der Brunnenstube können Filter und andere Vorrichtungen sein, die das Wasser reinigen. In der Regel dient eine Brunnenstube nicht der unmittelbaren Entnahme, sondern der weiteren Verteilung des Wassers.;;;
Bunker (Bauwerk);Ein Bunker ist ein Gebäude, das dem Schutz von Zivilpersonen und Militärpersonen sowie gefährdeten Gütern dient.;;;;
Burg;Eine Burg ist eine Befestigungsanlage, die seit der Frühgeschichte einen in sich geschlossenen, bewohnbaren Wehrbau darstellt.;Der Begriff Burg ist epochenübergreifend. Auch in der Neuzeit hat die Burg noch häufig eine zumindest rechtliche Bedeutung.;;;
