Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Materialentnahmegrube;Eine Materialentnahmegrube ist eine Grube, für die Entnahme von Lehm, Mergel, Sand oder Kies. Ebenfalls kann sich so ein flächiger Bodenaustausch abzeichnen.;;"Benutzt für kleinräumige Bodenstörungen; für großräumige Entnahmestellen zum Abbau  von Kies, Schotter, Sand oder Kohlen siehe Tagebau.";;
Materialraub;;;;;
Mauer;Eine Mauer ist ein begrenzendes Bauteil oder Bauwerk, das als massive Konstruktion aus anorganischen Materialien wie Naturstein, Backstein, Beton usw. besteht und dessen Dicke deutlich geringer ist als seine horizontale und vertikale Ausdehnung.;;;;
Mauerfundament;;;;;
Megalithgrab;Ein Megalithgrab ist ein Grab, das häufig Reste von Erdhügeln und Erdanschüttungen aufweist und bei denen meist auffallend große Steinblöcke und Steinplatten verwendet werden.;;;;
Mehrfachbestattung (Grab);Eine Mehrfachbestattung ist ein Grab, in dem mehrere Bestattungen zum gleichen Zeitpunkt oder auch zeitnah gestaffelt niedergelegt werden.;;"Benutzt für mehrere Bestattungen, die zum gleichen Zeitpunkt oder zeitnah  in einem Grab beigesetzt werden; für mehrere Bestattungen in einer Grabanlage, die nicht alle zu einem Zeitpunkt niedergelegt werden, siehe Kollektivbestattung.";;
Meilenstein (Entfernungsanzeiger);;;;;
Meilerplatz;Ein Meilerplatz ist ein offener Raum, auf dem in vergangener Zeit ein Kohlenmeiler stand.;Meilerplätze zeichnen sich im Gelände durch planierte, horizontal liegende Flächen ab, die durch mit Holzkohlenstaub durchmischtem Erdboden bzw. Holzkohlenresten charakterisiert sind.;;;
Mikwe;;Im Mittelalter sind die Mikwen häufig eigenständige monumentale Gebäude. Da für die rituelle Reinigung lebendiges, fließendes Wasser erforderlich ist, reichen die tiefen Schächte mit Treppenanlage, die zu dem eigentlichen Badebecken führen bis zum Grundwasser. In den späteren Perioden gab es auch einfache Mikwen im Keller von Wohnhäusern. Seit Neuzeit befinden sich Mikwen zumeist in Gemeindezentren. Gut erhaltene monumentale Mikwen können in Speyer, Worms, Köln und Friedberg (Hessen) besichtigt werden.;;;
Militärdepot;Ein Militärdepot ist ein Depot, das der Lagerung von Kraftstoff, Munition oder Gerät dient.;;;;
Militärlager;Ein Militärlager ist eine militärische Anlage, in der Truppen in Kasernen untergebracht werden.;;;;
Militärposten (Baukomplex);Ein Militärposten ist ein Baukomplex, der der Sicherung von Grenzen, einer Stellung oder eines Geländes bzw. Verkehrskontrollen dient. ;;;;
Mittelständer (Ofen);;;;;
Mittelzunge (Ofen);;;;;
Motte (Architektur);Eine Motte ist eine Burg, die aus einem künstlich aufgeschütteten Burghügel besteht. Dieser kann gegebenenfalls eine natürliche Erhebung einbeziehen.;Motten können durch eine Vorburg sowie umgebende Wassergräben ergänzt werden. Sie wurden meist im Hochmittelalter errichtet und gingen später manchmal in Burgen auf.;;;
Muffelofen;Ein Muffelofen ist ein Brennofen, dessen Inhalt nicht in direkten Kontakt mit der Flamme kommt, sondern in einem anderen Raum, gesondert von ihr, brennt.;;;;
Mühle (Baukomplex);Eine Mühle ist ein Baukomplex, der aus dem Mühlengebäude mit den darin befindlichen Vorrichtungen zum Zerkleinern oder Zermahlen von stückigem Material besteht, sowie dem umgebenden Gelände einschließlich der für den Betrieb der Mühle erforderlichen Bauwerke.;;"Benutzt für Mühlen als Gesamtkomplex; für die Zerkleinerungsmaschine siehe Mühle (Maschine).";;
Mühlengraben;Ein Mühlengraben ist ein Wassergraben, der künstlich angelegt wurde, um eine Wassermühle zu betreiben.;;;;
Mühlenteich;Ein Mühlenteich ist ein Stauteich, der an einer Mühle liegt und oftmals aus dem Wasser des Mühlgrabens gespeist wird.;;;;
Mundloch (Bergbau);Ein Mundloch ist der Bestandteil einer Untertageanlage, der den  Bergwerksstollen mit der Tagesoberfläche verbindet. Die Öffnung kann durch Mauerwerk eingefasst sein.;;;;
Münzschatzfund;Ein Münzschatzfund ist ein Depot, das aus Münzen besteht.;;;;
Nachbestattung (Grab);Eine Nachbestattung ist ein Grab, das in einer bereits bestehenden Bestattungsanlage (wie einem Grabhügel) nachträglich angelegt wird.;Eine Nachbestattung ist meist durch außermittige Lage bzw. höhere Position von der Zentralbestattung zu unterscheiden.;;;
Natur;;;;;
Nebenbestattung (Grab);Der Begriff Nebenbestattung bezeichnet ein Grab, das mit einem eindeutigen Bezug zu einer Zentralbestattung in einer größeren Grabanlage (z.B. einem Grabhügel) zeitgleich angelegt wird.;;;;
Nebengebäude;Ein Nebengebäude ist ein Gebäude, das Bestandteil eines Baukomplexes und in seiner Funktion von untergeordneter Bedeutung ist.;;;;
Niederungsburg;;Teil einer Niederungsburg kann ein künstlich aufgeschütteter Hügel sein.;;;
Noch nicht ermittelt;;;;;
Numeruskastell;Ein Numeruskastell ist ein Auxiliarlager, in dem ein Numerus stationiert ist.;;;;
Oberflächenfund;;;;;
Ofen (Vorrichtung);Ein Ofen ist eine Vorrichtung, die sowohl transportabel als auch fest eingebaut sein kann und zur Erzeugung von Wärme dient.;;;;
Ofenfeuerung;;;;;
Ofenkuppel;;Je nach Ofentyp und Art der Befeuerung besteht die Möglichkeit, dass auch der Feuerungsraum von der Ofenkuppel überdeckt wird. Die Ofenkuppel kann aus verschiedenen Materialien erbaut sein. So gibt es Kuppeln, die ursprünglich aus mit Lehm verstrichenem Flechtwerk oder Töpfen bestanden, daneben aber auch gemauerte Kuppelgewölbe, für deren Errichtung unterschiedliche Materialien, in der Regel Ziegelsteine, Schamottsteine oder aus Töpferton geformte Ziegel benutzt wurden.;;;
Ofenrost;Ein Ofenrost ist der Bestandteil eines Ofens, der sich am Boden des Feuerungsraumes befindet und auf dem das Brenngut gestapelt wird.;;;;
Ofenwandung;;;;;
Ofenzunge;;;;;
Ölmühle;Eine Ölmühle ist eine Mühle, in der Ölsaat zerquetscht und ausgepresst oder ausgeschlagen wird.;;;;
Opferfund;;;;;
Opfergrube;Eine Opfergrube ist eine Grube, in der Opfer niedergelegt oder dauerhaft deponiert werden.;;;;
Opferschacht;Ein Opferschacht ist ein Schacht, in dem Opfergaben niedergelegt oder dauerhaft deponiert werden.;;;;
Oppidum (Siedlung);Ein Oppidum ist eine befestigte Siedlung aus keltischer Zeit und wurde zumeist in erhöhter oder schwer zugänglicher Lage angelegt.;Es kann sich um eine Zufluchtsstätte, einen ständig bewohnten Ort oder einen Werkplatz handeln. Im Mittelalter wurde unter einem Oppidum eine kleine stadtähnliche Siedlung mit Marktfunktion verstanden, der das Marktrecht bzw. Stadtrecht fehlte.;;;
Palas;Ein Palas ist ein Gebäude, das das hauptsächliche Wohn- und Repräsentationsgebäude einer Burg präsentiert und vor allem einen großen Saal, im fortgeschrittenen Mittelalter auch mehrere Säle enthält, deren in der Regel zu Gruppen zusammengefasste Fensteröffnungen wesentliche Gestaltungsmerkmale der Fassade sind.;In der Literatur wird der Palas häufig auch als Saalbau bezeichnet, vor allem, wenn es sich um das Repräsentationsgebäude einer Pfalz handelt.;;;
Palisade;Eine Palisade ist eine Einfriedung, die aus nebeneinander eingeschlagenen Pfählen besteht.;;;;
Palisadengraben;Ein Palisadengraben ist ein Befestigungsgraben, der für die Aufnahme einer Palisade angelegt wird.;Bodenverfärbungen auf der Grabensohle verdeutlichen, dass Holzpfosten in einer dichten Reihe (auch Doppelreihen oder Mehrfachreihen) in den Graben gesetzt werden.;;;
Palisadenpfosten;Ein Palisadenpfosten ist ein Pfosten, der meist senkrecht in den Erdboden eingelassen oder eingerammt ist und zusammengeschlossen mit weiteren benachbarten Pfosten Teil einer Palisade ist.;;;;
Panzergraben;Ein Panzergraben ist ein Befestigungsgraben, der zur Abwehr feindlicher Panzer angelegt wird.;;;;
Panzersperre;Eine Panzersperre ist ein Bauwerk, das den Vorstoß von Panzern verhindern soll.;;;;
Papiermühle;Eine Papiermühle ist eine Mühle, in der Lumpen oder Zellstoff für die Papierherstellung zerkleinert werden.;;;;
Park;Ein Park ist ein offener Raum, der abgegrenzt, häufig eingefriedet, vom Menschen mehr oder weniger künstlerisch oder aufwendig gestaltet und der Pflege bedürftig ist, aber auch gestalterisch mit der Umgebung verbunden sein kann, beispielsweise durch ein Ha-Ha.;Gestaltungselemente sind vor allem Gehölze, Rasenflächen und Wiesenflächen, Gewässer und Wegesysteme. Innerhalb eines Parks können sich Gärten befinden, die dem Anbau bestimmter Pflanzen dienen (zum Beispiel Küchengärten). Die Begriffe Garten und Park werden allerdings häufig synonym gebraucht.;Benutzt für größere Anlagen, die wesentlich durch Baumbestand bestimmt sind.;;
Pavillon (Bauwerk);;;;;
Pechhütte;Eine Pechhütte ist ein Betrieb, in dem das Pech gesiedet wird.;;Benutzt für den Betrieb und das Gebäude.;;
Pechofen;Ein Pechofen ist ein Kuppelofen, in dem harzige Stücke Holz von Kiefern und Fichten zu Pech oder Teer eingekocht werden.;;;;
Peristyl;Ein Peristyl ist ein Gebäudeteil, der einen Hof oder Garten auf allen Seiten in Form eines Säulenganges umringt.;;;;
Pfahlgründung;Eine Pfahlgründung ist eine Tiefgründung, bei der Pfähle in den Baugrund gebohrt oder gerammt werden, bis eine ausreichend tragfähige Bodenschicht oder Gesteinsschicht erreicht ist.;;;;
Pfahlrost;Ein Pfahlrost ist eine Tiefgründung, bei der Pfähle oder Pfahlgruppen durch eine Rostplatte zu einer einheitlich tragenden Gründung miteinander verbunden werden.;;;;
Pfalz (Bauwerk);Eine Pfalz ist ein Baukomplex, zu dem neben Wohnbauten und Wirtschaftsgebäuden, die auch abseits liegen können, vor allem Kapelle und Saalbau gehören und der im Mittelalter dem König, einem Herzog, Grafen oder Bischof als Verwaltungs- und Amtssitz diente.;Wenn Pfalzen auch befestigt sind, so steht der Zweck als Wehrbau doch nicht im Vordergrund. Im Gegensatz zu den Königspfalzen, die den König und seinen Hof nur zeitweise beherbergen, dienen die anderen Pfalzen häufig als ständige Sitze.;;;
Pfeifenbäckerei;Eine Pfeifenbäckerei ist ein Betrieb, in dem aus so genanntem Pfeifenton Tabakspfeifen produziert werden.;;;;
Pfeiler;Ein Pfeiler ist eine Stütze, die aus Mauerwerk besteht und rechteckigen, quadratischen, polygonalen oder runden Querschnitt hat.;;;;
Pferch;Ein Pferch ist ein offener Raum, der durch transportable Zäune eingefriedet ist und in dem das Vieh zur Nacht zusammengetrieben werden kann.;;;;
Pflaster (Oberflächenelement);;;;;
Pflugspur;Eine Pflugspur ist eine Spur, die als rillenförmige Verfärbung im Boden erhalten ist und vermutlich durch die Verwendung eines Pflugs entstanden ist.;;;;
Pfosten;;;;;
Pfostenbau (Bauwerk);;;;;
Pfostengrube;Eine Pfostengrube ist eine Grube, die ausgehoben wird um einen Pfosten im Erdboden aufzustellen.;;;;
Pfostengrubenreihe;;;"Benutzt für die im archäologischen Befund nachweisbaren Reihen von Pfostengruben; für die eigentlichen, in einer Reihe stehenden Pfosten siehe Pfostenreihe.";;
Pfostenreihe;;;"Benutzt für die eigentlichen, in einer Reihe stehenden Pfosten; für die im archäologischen Befund nachweisbaren Reihen von Pfostengruben siehe Pfostengrubenreihe.";;
Pfostenspur;Eine Pfostenspur ist eine Verfärbung, die in einer Pfostengrube den Standort des vergangenen Pfostens anzeigt.;;;;
Pfostenstickung;;;;;
Pinge;Eine Pinge ist eine Abbaustelle, die aufgelassen und teilweise verfüllt ist. Pingen zeichnen sich im Gelände durch zumeist trichterförmige bis schüsselförmige Vertiefungen ab.;;;;
Pingenfeld;Ein Pingenfeld ist ein Bergbaugebiet, das mehr oder weniger groß ist, in dem sich eine Anzahl von Pingen befindet und in dem auch weitere Relikte bergbaulicher Tätigkeiten erhalten sein können.;;;;
Plagge (Landwirtschaft);Eine Plagge ist eine Sode mit darauf befindlicher Vegetation, welche in der Regel nach einer Nutzung als Einstreu anschließend auf weniger nährstoffreiche Ackerflächen aufgebracht wurde, um die landwirtschaftliche Produktivität zu steigern.;;;;
Planierung;;;;;
Platz (Städtebau);Ein Platz ist ein offener Raum, der in der Regel durch Bauwerke begrenzt ist und im städtebaulichen Kontext steht.;;"Benutzt für freien Raum, der im städtebaulichen Kontext entstanden ist und in der Regel von Bauwerken begrenzt wird; für Plätze außerhalb des städtebaulichen Kontext siehe Offene Räume.";;
Pochwerk;Ein Pochwerk ist eine Mühle, die dem Zerkleinern von Erz dient. Dazu werden Pochstempel mit sogenannten Pochschuhen aus Eisen über eine Welle angehoben und auf die Erzstücke fallen gelassen.;;;;
Podiumstempel;Ein Podiumstempel ist ein Tempel, der auf einem hohen Unterbau ruht und mit einer Freitreppe an der Front ausgestattet ist.;;;;
Porta decumana;Die Porta Decumana ist als Tor Bestandteil eines römischen Militärlagers. Es liegt innerhalb der Schmalseite des Lagers im rückwärtigen Teil gegenüber der Hinterfront der Principia.;;;;
Porta praetoria;Die Porta praetoria ist ein Tor, das in einer Schmalseite des Lagers gegenüber der Front der Principia liegt und den Hauptzugang in ein römisches Militärlager markiert.;;;;
Porta principalis dextra;Die Porta principalis dextra ist ein Tor, das in der rechten Breitseite eines römischen Militärlagers liegt.;;;;
Porta principalis sinistra;Die Porta Principalis Sinistra ist das Tor eines römischen Lagers, das in der linken Breitseite des Lagers liegt.;;;;
Portikus;Ein oder eine Portikus ist ein Gebäudeteil, der als von Säulen oder Pfeilern getragene offene Halle einem Gebäude vorgesetzt ist.;;;;
Postamt (Bauwerk);Ein Postamt ist ein Gebäude, in dem in der Zeit von 1871 bis 1994 Einrichtungen zur postalischen Beförderung und Verteilung von schriftlichen Nachrichten, Briefpost und Paketpost untergebracht sind.;;"Benutzt für das Amtsgebäude der Post zwischen 1871 und 1994; für das Postgebäude vor 1871 siehe Poststation und nach 1995 siehe Postagentur.";1871;1994
Praefurnium;Das Praefurnium ist der Teil des Hypokaustums, in dem in römischer Zeit das Feuer brannte. Von hier aus wurde die Hitze in die Hypokausten geleitet. Zum Praefurnium gehörte ein Bedienraum.;;;;
Praetorium;Das Praetorium ist ein Gebäude, das in einem römischen Militärlager liegt und in dem der Kommandeur residiert.;;;;
Principia (Bauwerk);;;;;
Profil (Archäologie);Ein Profil ist eine Stelle, die einen senkrechten Schnitt durch die Erdoberfläche grafisch darstellt.;;;;
Pulvermühle;Eine Pulvermühle ist eine Mühle, in der Salpeter, Schwefel und Holzkohle für die Herstellung von Schwarzpulver zerkleinert und gemischt werden.;;;;
Punktfundament;;;;;
Quelle (Gewässer);Eine Quelle ist ein Gewässer, bei dem Grundwasser auf natürliche Weise austritt, wodurch ein Übergangsbereich zwischen Grundwasser und Fließgewässer ausgebildet wird.;;;;
Quellfassung;Eine Quellfassung ist ein Bauwerk, das um den Austritt einer Quelle an die Erdoberfläche errichtet wird.;;;;
Quellheiligtum;Ein Quellheiligtum ist ein Naturheiligtum, das als Kultplatz an Quellen mit niedergelegten Weihefunden und Opferfunden nachgewiesen ist.;Die lebensspendende, gesundheitsspendende und fruchtbarkeitsspendende Rolle des Wassers sowie der Glaube an den Sitz über- und unterirdischer Kräfte an Quellen bilden den kultisch-religiösen Hintergrund.;;;
Radkasten;Ein Radkasten ist ein Bestandteil, in dem ein Rad läuft. Er gehört zu Vorrichtungen wie Wassermühlen, Schiffen oder Kraftfahrzeugen.;;Benutzt immer in Kombination mit der Vorrichtung, zu der er gehört.;;
Raubgräberloch;Ein Raubgräberloch ist eine Grube, die im Zusammenhang mit Raubgrabungen unerlaubt angelegt wird und bei deren Erstellung zumindest Teile von archäologischen Befunden gestört oder zerstört werden.;;;;
Räucherofen;Ein Räucherofen ist ein Ofen, in dem Fleisch, Fisch oder Geflügel speziell im Rauch zubereitet und haltbar gemacht wird.;"Er besitzt zwei Kammern: die obere, größere ist für die Räucherware; die untere, kleinere ist für das Feuerholz, das den Rauch entwickelt und dem Fleisch das Aroma verleiht.";;;
Raum (Gebäudeteil);;;;;
Ravelin;Ein Ravelin ist der Bestandteil einer Festung, der als Verteidigungswerk am äußeren Rand des Hauptgrabens gegenüber der Kurtine liegt.;;;;
Refektorium;Ein Refektorium ist ein Saal, der in einem Kloster als Speisesaal des Konventes dient und sich in der Regel in demjenigen Flügel des Kreuzgangs befindet, der der Kirche gegenüberliegt.;;;;
Reihengräberfeld;;;;;
Reithalle;Eine Reithalle ist eine Pferdesportanlage in Form einer Halle, die speziell für den Reitsport konzipiert ist.;;;;
Remise;Eine Remise ist ein Gebäude, das vorrangig dem Unterstellen von Wagen, Fahrzeugen usw. dient und in der Regel offen und nicht verschließbar ist.;Regional werden jedoch auch mit Toren verschließbare Unterstellschuppen und Unterstellhallen als Remise bezeichnet.;;;
Rennofen;Ein Rennofen ist ein Schachtofen, dessen Schacht aus einem Lehmmantel besteht, in dem aufgrund der erreichten Temperaturen kein flüssiges Eisen sondern Luppen erzeugt werden.;;;;
Revisionsschacht;;;;;
Richtstätte;Eine Richtstätte ist ein offener Raum, an welchem ein Urteil vollstreckt wird, also ein Verurteilter gerichtet oder hingerichtet wird.;;;;
Ringofen;Ein Ringofen ist ein Kammerofen, in dem kontinuierlich Ziegel, Keramik, Kalk oder Zement gebrannt werden und aus mehreren ringförmig oder oval angeordneten Brennkammern besteht.;;;;
Ringwall;Ein Ringwall ist eine Wallanlage, die eine mehr oder weniger runde Form hat und einen oder mehrere größere offene Räume umschließt, die zur Verteidigung, aus religiösen Gründen, als Versammlungsorte oder als Besiedlung genutzt werden.;Der Wallanlage kann ein Graben vorgelagert sein, es können sich ein oder mehrere Tore in der Wallanlage befinden. Eine Innenbebauung kann es je nach Nutzung geben.;;;
Risalit;Ein Risalit ist ein Gebäudeteil, der in ganzer Höhe des Bauwerks vorspringt, auch höher sein kann und oftmals ein eigenes Dach hat.;;;;
Römisches Militärlager;;;;;
Rösche (Bergbau);Eine Rösche ist ein Erdbauwerk, in Form eines flachen Grabens oder einer Rinne, das im unteren Bereich eines Stollens liegt und der Wasserableitung dient.;;;;
Sägemühle;Eine Sägemühle ist eine Mühle, in der Baumstämme zu Balken, Brettern, Latten oder Dielen geschnitten werden.;;"Benutzt für den Baukomplex; für den industriell geführten Betrieb siehe Sägewerk.";;
Sakralbau;Ein Sakralbau ist ein Gebäude, das Kultzwecken dient. Zu den Sakralbauten zählen der Kirchenbau, Tempelbau und die Moschee.;;;;
Sammelbecken (Bauwerk);Ein Sammelbecken ist ein Becken, in dem Flüssigkeiten gespeichert werden.;;;;
Sarg;Ein Sarg ist ein Behälter, in den Tote gelegt und beigesetzt werden.;Ein Sarg hat die Form eines langen Kastens. Er wird mit einem Deckel verschlossen und kann aus unterschiedlichen Materialien hergestellt sein.;;;
Sarkophag;Ein Sarkophag ist ein Sarg, der aus Stein gefertigt ist, mit Reliefs verziert, bemalt oder auch mit Inschriften versehen ist. Vorwiegend dient er der repräsentativen Bestattung höhergestellter Personen.;;;;
Säule;Eine Säule ist eine Stütze, die einen kreisförmigen Querschnitt hat, im Gegensatz zum Rundpfeiler in der Regel mit Verjüngung und manchmal auch mit Entasis. Sie lässt sich gewöhnlich in Basis, Schaft und Kapitell gliedern.;;;;
Schacht (Bauwesen);;;;;
Schädelbestattung (Grab);Eine Schädelbestattung ist ein Grab, in dem nur der vom Körper getrennte Kopf beigesetzt wird. In einem Grab können sich auch Köpfe mehrerer Individuen befinden.;;;;
Schanze (Befestigungsanlage);Eine Schanze ist eine Feldbefestigung, die aus einem Wall aus aufgeworfener Erde besteht und mit einem Graben ausgestattet ist.;;;;
Scherbenhügel;Ein Scherbenhügel ist eine Halde, in der Fehlbrände von Töpfereien oder zu Bruch gegangene keramische Gefäße zur endgültigen Entsorgung abgelagert werden.;;;;
Scherbennest;;;;;
Scheune;Eine Scheune ist ein Gebäude, das dem Lagern des Erntegutes dient.;;;;
Schicht (Archäologie);Eine Schicht ist eine einheitlich strukturierte, räumlich begrenzte, meist horizontal liegende Bodenverfärbung oder Materialkonzentration. Diese Schichten können natürlich entstanden oder künstlich angelegt worden sein.;;;;
Schießstand;Ein Schießstand ist eine Sportstätte, in der Übungsschießen und Wettkampfschießen durchgeführt werden. Der Begriff wird sowohl für zivile als auch für militärische Anlagen genutzt.;;;;
Schiff (Wasserfahrzeug);Ein Schiff ist ein größeres Wasserfahrzeug, das auf dem Wasser schwimmt und über einen eigenen Antrieb in Form von Segeln, Motoren oder Riemen verfügt. Es besitzt einen länglichen Rumpf, selten mehrere, der an einem oder beiden Enden schmal oder spitz zuläuft. Im Unterschied zum Boot ist es größer und aufgrund seiner Bauweise in der Regel seetüchtiger.;;;;
Schifffahrtskanal;Ein Schifffahrtskanal ist eine Wasserstraße, die künstlich angelegt ist und vor allem für die kommerzielle Schifffahrt genutzt wird.;;"Benutzt für schiffbaren Kanal; für künstlichen Wasserlauf für Abwässer, Bewässerung oder Entwässerung siehe Kanal (Wasserbau).";;
Schiffswerft;;;;;
Schlachtfeld;Ein Schlachtfeld ist ein offener Raum, auf dem sich eine kriegerische Auseinandersetzung, eine Schlacht, ereignet hat.;;;;
Schlachtplatz (Wirtschaft);Ein Schlachtplatz ist ein offener Raum, in dem Tierkörper zerteilt, entbeint, portioniert werden.;;;;
Schlackenhalde;Eine Schlackenhalde ist eine Halde, die aus Reststoffen des Verhüttungsprozesses besteht.;;;;
Schlagplatz;;;;;
Schleiferei (Wirtschaft);Eine Schleiferei ist ein Betrieb, in dem unbearbeitete Grundstoffe oder vorgefertigtes Halbzeug wie Glas, Stein, Edelsteine und Metalle durch Schleifen endbearbeitet werden.;;;;
Schleuse (Wasserbau);Eine Schleuse ist ein Bauwerk zur Überwindung von Höhenunterschieden in staugeregelten Flüssen und Kanälen.;;;;
Schleusenwehr;Ein Schleusenwehr ist ein Wehr, das der Regulierung des Wasserstandes an einer Schleuse dient und fest in der Wasserstraße installiert ist.;;;;
Schlitzgrube;Eine Schlitzgrube ist eine Grube, die in der Archäologie eine schmale, aber zwei bis drei Meter lange und bis zu vier Meter tiefe Grube bezeichnet. Der Querschnitt keilförmig ist. Die Enden sind im Profil gerade oder nur leicht schräg abgerundet.;;;;
Schlitztenne;;;;;
Schloss (Bauwerk);Ein Schloss ist ein Baukomplex, der aus einem repräsentativen Gebäude, Nebengebäuden und häufig auch Wirtschaftsgebäuden, Außenanlagen und Freiflächen, Gärten und Gewässern besteht und bei dem je nach Größe und Lage einzelne Teile entfallen können.;Von der Burg unterscheidet sich das Schloss durch den Vorrang des Repräsentativen und die größere Bequemlichkeit der Wohnung. Allerdings sind die Grenzen fließend, so dass es zahlreiche Überschneidungen zwischen Burg und Schloss gibt.;;;
Schmelzofen;;;;;
Schmelzplatz;;;;;
Schmiede;Eine Schmiede ist ein Betrieb, in dem schmiedbare Metalle durch Warmverformung und Kaltverformung bearbeitet werden.;;;;
Schurf;Ein Schurf ist eine Grube, die relativ flach ist und  lediglich zur Auffindung von oberflächennahen Lagerstätten angelegt wird. ;;;;
Schürfgrube (Bauwesen);Eine Schürfgrube ist eine Grube, die zur Erkundung des Baugrunds angelegt wird.;;;;
Schürmündung;;;;;
Schützengraben;;;;;
Schützenloch;;;;;
Schwarzerderelikt;;;;;
Schwellbalkenkonstruktion;;;;;
Schwelle (Fachwerk);;;;;
Schwellenbau;Der Schwellenbau ist ein Gebäude, dessen Wände auf waagrechten Schwellen aufsitzen.;;"Benutzt für das Gebäude; für die Baukonstruktion siehe Schwellbalkenkonstruktion.";;
Schwimmbad;Ein Schwimmbad ist ein Bad oder eine Sportstätte, die aus einem oder mehreren Schwimmbecken, Umkleideräumen, gegebenenfalls Liegewiesen besteht und von einem Bademeister beaufsichtigt wird.;;;;
Siechenhaus;"Ein Siechenhaus ist ein Hospital, das in der Zeit vom 11. bis zum 18. Jahrhundert der Aufnahme und Verpflegung sowie der Quarantäne von unheilbar Kranken (""Siechen"") diente.";;"Benutzt für die in der Zeit vom 11. bis zum 18. Jahrhundert als Pflegeheim genutzte Einrichtung; für die medizinische Einrichtung seit dem 18. Jahrhundert siehe Krankenhaus.";;
Siedlung;Eine Siedlung ist in der gebauten Umwelt eine menschliche Niederlassung, die aus Wohnbauten und Zweckbauten sowie der dazugehörigen Infrastruktur besteht.;;;;
Skelett (Körperbestandteil);Ein Skelett ist der Bestandteil eines Tiers oder Menschen, der das tragende Gerüst aus festem Gewebe bildet. So handelt es sich dabei etwa bei Wirbeltieren um die Gesamtheit der Knochen oder bei bestimmten Fischen um die der Knorpel.;;;;
Sohlgraben;Ein Sohlgraben ist ein Graben, der einen flachen Boden (Grabensohle) hat, sodass das Grabenprofil U-förmig ist.;;;;
Soldatenfriedhof;Ein Soldatenfriedhof ist eine Kriegsgräberstätte, auf dem während eines Krieges gefallene Soldaten beigesetzt sind.;;;;
Speicher (Bauwerk);Ein Speicher ist ein Lagergebäude, in dem Güter aufbewahrt werden.;;;;
Spinnerei;Eine Spinnerei ist ein Betrieb, in dem aus Fasern Fäden gesponnen werden.;;Benutzt für den Handwerksbetrieb und den Industriebetrieb.;;
Spitzgraben;Ein Spitzgraben ist ein Befestigungsgraben, der keine Sohle besitzt, sondern dessen Grabenwände stattdessen in spitzem Winkel aufeinandertreffen.;;;;
Sportplatz;Ein Sportplatz ist ein Platz, der als große, ebene und freie Fläche angelegt ist, zum Treiben von Sport oder der Austragung von Wettbewerben dient und zu dem meist auch Umkleidemöglichkeiten gehören.;;;;
Stadt (Siedlung);Eine Stadt ist eine dauerhafte Siedlung, die mit bestimmten Rechten ausgestattet ist.;Kennzeichnend sind ferner eine höhere bauliche Verdichtung und die Ausübung zentralörtlicher Funktionen für ein Umland, etwa in den Bereichen Verwaltung, Wirtschaft, Bildung und Kultur.  Charakteristisch ist die Ansiedlung einer stark arbeitsteiligen Wirtschaft.;;;
Stadtbefestigung;Eine Stadtbefestigung ist eine Befestigungsanlage, die einer städtischen Siedlung zu deren Sicherung, Befriedung oder Verteidigung dient.;;"Benutzt für Anlagen zur Befestigung einer städtischen Siedlung, die aufgrund ihrer Bauform und ihres Baumaterials nicht als Stadtmauer zu bezeichnen sind; für das als massive Konstruktion aus Stein gemauerte Bauwerk siehe Stadtmauer.";;
Stadtgraben;Ein Stadtgraben ist ein Befestigungsgraben, der um eine Stadt herum führt und diese sichert.;;;;
Stadtkern;Ein Stadtkern ist ein Ortskern, der im Zentrum einer Stadt liegt und deren stärkste bauliche Verdichtung und die Konzentration städtischer Funktionen aufweist.;;;;
Stadtmauer;Eine Stadtmauer ist eine Umfassungsmauer, die um eine Stadt führt und zu deren Sicherung, Befriedung, Befestigung oder Verteidigung dient.;Eine Stadtmauer kann auch um eine Siedlung führen, die im rechtlichen Sinne nicht als Stadt gilt, aber als Freiheit oder gefreiter Ort durch ein entsprechendes Privileg (Befestigungsrecht) das Recht zur Errichtung einer Wehrmauer hat.;"Benutzt für das als massive Konstruktion aus Stein gemauerte Bauwerk; für sich aufgrund ihrer Bauform und ihres Baumaterials davon unterscheidende Anlagen zur Befestigung einer städtischen Siedlung siehe Stadtbefestigung.";;
Stall;Ein Stall ist ein Gebäude oder ein Gebäudeteil, in dem Tiere untergebracht werden.;;;;
Ständerwand (Ofen);;;;;
Stauanlage;Eine Stauanlage ist ein Baukomplex oder Bauwerk, das den natürlichen Wasserspiegel eines Gewässers durch Verringerung des Wasserabflusses anhebt und zu dem Wehre und Talsperren zählen.;;;;
Staudamm;Ein Staudamm ist ein Damm, der als Bestandteil einer Stauanlage aus aufgeschütteten Baustoffen besteht und das Gebiet abschließt, in dem ein Gewässer aufgestaut wird.;;;;
Stauteich;Ein Stauteich ist ein Teich, in dem Wasser für eine spätere gewerbliche Nutzung angestaut wird.;;;;
Steg (Bauwerk);Ein Steg ist eine Brücke, die als Übergang über Gewässer dient und im Verhältnis zu einer Brücke kleiner und schmaler ist und nicht für den Autoverkehr geeignet ist.;;;;
