Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Ofenkachel;Eine Ofenkachel ist Keramik mit einer meist farbigen Glasur. Ofenkacheln sind namensgebende Bestandteile des Kachelofens, wärmespeichernd sowie wärmeabstrahlend.;;;;
Ofensau;;;;;
Ofenziegel;;;"Ofenziegel benutzt für Ziegel, die im Ofen verbaut sind und von außen nicht sichtbar sind; für die außen angebrachten Kacheln siehe Ofenkachel.";;
Ohrlöffel (Toilettegerät);;;;;
Ohrring;Ein Ohrring ist Ohrschmuck, der durch ein Loch im oder als Ohrclip am Ohrläppchen getragen wird.;;;;
Ohrschmuck;Ohrschmuck ist ein am Ohr getragenes Schmuckstück, das je nach Objekttyp auf unterschiedliche Art am oder im Ohr befestigt werden kann.;;;;
Optisch stimulierte Lumineszenzprobe;Eine optisch stimulierte Lumineszenzprobe ist eine Materialprobe, die mit Hilfe einer Lumineszenz-Methode datiert wird.;;;;
Ortband;Ein Ortband ist ein Beschlag, der verhindern soll, dass die Scheidenspitze von Blankwaffen durch diese durchschnitten wird.;;;;
Öse (Verbindungselement);Eine Öse ist ein Verbindungselement, das die Form einer Schlinge oder eines Ringes hat. Ösen sind sowohl an Textilien und Lederwaren als auch an Konstruktionen zu finden.;In die Ösen werden Haken eingehakt bzw. Schnüre durchgezogen, um so ein Gegenstück zu befestigen.;;;
Paddel (Gerät);;;;;
Panzerung (Schutzkleidung);Eine Panzerung ist feste Schutzkleidung, die den Körper im Kampf vor Verletzungen durch Stiche, Stöße oder Schüsse schützen soll.;;;;
Patrize (Stempel);;;;;
Perle (visuelles Werk);Eine Perle ist ein visuelles Werk in Form eines kleinen, durchlochten Objektes, das aus unterschiedlichen Materialien und in verschiedenen Formen gefertigt sein kann. Perlen dienen, aufgefädelt oder aufgenäht, häufig als Schmuck.;;;;
Pfahl (Bauwesen);;;;;
Pfahlschuh;;;;;
Pfanne (Küchengerät);;Pfannen werden üblicherweise zum Braten benutzt, darin kann jedoch auch geschmort oder gebacken werden.;;;
Pfefferstreuer;;;;;
Pfeife (Tonerzeugendes Instrument);;;;;
Pfeiler;Ein Pfeiler ist eine Stütze, die aus Mauerwerk besteht und rechteckigen, quadratischen, polygonalen oder runden Querschnitt hat.;;;;
Pfeilschaftglätter;;Pfeilschaftglätter bestehen aus zwei Sandsteinen unterschiedlicher Härtegrade mit einer geraden und einer gewölbten Fläche. Parallel zur Längsachse verläuft auf der geraden Fläche eine Rille mit U-förmigem Querschnitt. Sie können paarig genutzt werden und waren meist aus Sandstein gefertigt.;;;
Pfeilspitze;Eine Pfeilspitze ist ein Waffenteil, das spitz zulaufend gefertigt und vorne am Schaft eines Projektils wie Pfeil oder Bolzen befestigt ist. Pfeilspitzen unterliegen einer großen Formenvielfalt und können nach Material, Schäftung und Form der Spitze klassifiziert werden.;;;;
Pflanzlicher Überrest;;;;;
Pflug;Ein Pflug ist ein Bodenbearbeitungsgerät zum Lockern und Wenden der Ackerkrume.;;;;
Pfosten;;;;;
Pfriem (Werkzeug);;;;;
Pilaster;Ein Pilaster ist ein Architekturelement, das wie eine Säule in Basis, Schaft und Kapitell gegliedert ist.;;;;
Pilgerandenken;Ein Pilgerandenken ist ein Souvenir, das an die Reise zu einer religiösen Stätte erinnert und als gesegnetes Objekt auch zum Schutz und als Heilsvermittler verwendet wurde.;;;;
Pilgerhorn;;;;;
Pilum;Ein Pilum ist ein Speer, der in römischen Legionen benutzt wurde und aus einem hölzernen Schaft und einer ebenso langen eisernen Pilumspitze mit Widerhaken bestand.;;;;
Pinzette;;;;;
Pistole (Handfeuerwaffe);Eine Pistole ist eine Handfeuerwaffe mit kurzem Lauf, die mit einer Hand geschossen werden kann. Differenziert wird zwischen Einzelladerpistolen, Mehrladerpistolen und Revolvern.;;;;
Pistolenkugel;;;;;
Plakat;;;;;
Plakette;;;;;
Planke (Brett);;;;;
Plastik (visuelles Werk);Eine Plastik ist ein visuelles Werk, das modelliert oder gegossen wird.;;"Benutzt für visuelle Werke, die aus Materialien modelliert oder gegossen werden; für visuelle Werke, die aus einem Material herausgearbeitet werden, siehe Skulptur.";;
Platte (Geschirr);;;;;
Platte (Objekttyp);Eine Platte ist ein Objekttyp, der flächig ist und aus steifem Material hergestellt wird.;;;;
Plombe (Siegel);;;;;
Pokal (Trinkgefäß);Ein Pokal ist ein Trinkgefäß, dessen Kuppa auf einem hohen Schaft mit Fuß sitzt und das reich verziert ist. Im Gegensatz zum Kelch ist der Pokal ein profanes und oft größeres Prunkgefäß.;Die weltlichen Pokale entwickelten sich im späten Mittelalter aus den christlichen Kelchen und waren bis etwa ins 18. Jahrhundert verbreitet. Später entstand die gleichnamige Trophäe nach dem Vorbild des Pokals.;;;
Pollenprobe;;;;;
Positiv (Foto);;;;;
Posthorn;;;;;
Probe (Objekttyp);;;;;
Probierstein;Ein Probierstein ist ein einfaches Gerät aus einem einfarbig dunklen Gestein, mit dem Zusammensetzung und Reinheitsgrad von Edelmetallen geprüft werden. Oft wird ein Lydit als Probierstein verwendet.;;;;
Produktionsabfall;Materialabfall ist ein Reststoff, der während des Produktionsprozesses anfällt.;;;;
Pumpe;Eine Pumpe ist ein Fördersystem, das der Förderung von Flüssigkeiten, Gasen und ähnlichem dient.;;;;
Puppe (Spielzeug);Eine Puppe ist ein Spielzeug in Form einer dreidimensionalen und manipulierbaren Nachbildung eines Menschen oder einer menschenähnlichen Gestalt, die beim kindlichen Rollenspiel Verwendung findet.;;;;
Putz (Baustoff);;;;;
Quina-Schaber;;;;;
Rad (Maschinenelement);;;;;
Radiokarbonprobe;Eine Radiokarbonprobe ist eine Materialprobe, die für die Datierung, insbesondere von organischen Stoffen, mit der Radiokarbonmethode genommen wird.;;;;
Radnabe;;;;;
Radspeiche;Radspeiche ist ein Bestandteil einiger Räder, der die Verbindung zwischen Radnabe und Felge bildet.;;;;
Randscherbe;Eine Randscherbe ist eine Scherbe, die von der Randzone eines Gefäßes stammt.;;"Benutzt für Scherben aus Ton, Glas und Porzellan; für Fragmente aus anderen Materialien nutze Gefäßrand.";;
Rasiermesser;;;In der vorgeschichtlichen Archäologie werden sowohl einschneidige, halbmondförmige Objekte mit seitlichem Griff als auch zweischneidige Objekte mit zentralem Griff und sehr dünnen Schneiden als Rasiermesser bezeichnet.;;
Rassel (Musikinstrument);Eine Rassel ist ein Idiofon, das aus einem Hohlkörper besteht, der mit Kleinteilen unterschiedlicher Art befüllt ist. Durch Schütteln des Instruments schlagen die losen Teile im Inneren des Hohlkörpers gegeneinander oder gegen den festen Teil und erzeugen so Geräusche.;;;;
Räuchergerät;;;;;
Rechen (Bodenbearbeitungsgerät);Ein Rechen ist ein Ackergerät, das sowohl zum Sammeln von pflanzlichem Material wie Gras, Heu oder Stroh sowie zum Einebnen des Bodens verwendet wird.;;;;
Rechengerät;;;;;
Regal (Möbel);;;;;
Reibplatte;;;"Benutzt für Reibplatten zum Zermahlen von Kräutern, Getreiden, Farbpigmenten, Erzen usw.; für die Verwendung im kosmetischen Bereich siehe Schminkpalette.";;
Reibschale;Eine Reibschale ist ein schalenförmiger Mörser aus Keramik, dessen Innenwandung geraut oder mit Steingrus besetzt ist. Sie hat einen deutlich abgesetzten Rand mit flachem Ausguss und wurde in römischer Zeit etwa zum Zerreiben und Mischen von Milchprodukten, Würzsaucen, Kräutern, Gewürzen und ähnlichem verwendet.;;;;
Reibstein;;;;;
Relief (Kunst);Relief ist eine Bildhauertechnik, bei der Figuren oder Ornamente plastisch auf einer Fläche gestaltet werden, sodass sie sich von dieser abheben oder in diese eingesenkt sind. Die Gestaltung kann durch direktes Bearbeiten des Materials, durch Gießen in eine vorgeformte Negativform oder durch andere formgebende Verfahren erfolgen.;;;;
Reliquiar;;;;;
Retuscheur (Gerät);;;;;
Riegel (Bauteil);Ein Riegel ist der Bestandteil eines Fachwerks, der waagerecht zwischen Stützen gezapft oder auf diese aufgeblattet ist.;;;;
Riemen (Gerät);Ein Riemen ist ein Gerät, das zur Fortbewegung von Ruderbooten und Ruderschiffen genutzt wird. Es besteht in der Regel aus einem Schaft mit beweglicher Manschette, einem Griff und einem Ruderblatt. Beim Rudern wird ein Riemen mit beiden Händen bedient.;Im Rudersport wird der Riemen in eine Dolle eingelegt. Diese Vorrichtung befestigt den Riemen an der Bordkante oder am Ausleger.;;;
Riemenverteiler;;Ein Riemenverteiler besteht zumeist aus einem Ring oder einer Platte mit oder ohne Ösen, das die gleichmäßige und passgenaue Position der einzelnen abgehenden Riemen von Schwert- und anderen Gehängen oder Pferdegeschirren sicherstellt.;;;
Riemenzunge (Beschlag);;Die Riemenzunge dient zum leichteren Durchziehen des Riemens durch die Gürtelschnalle oder zum Beschweren eines frei nach unten hängenden Gürtelendes, das er gleichzeitig schützt und schmückt.;;;
Ring (Objekttyp);Ein Ring ist ein Objekttyp, der durch eine geschlossene kreisförmige Form gekennzeichnet ist.;;;;
Rohknolle;;;Sollte ausschließlich für im Grabungskontext aufgefundene Stücke verwendet werden, deren Zusammenhang mit der Fundstelle eindeutig ist.;;
Rohling (Fertigung);Ein Rohling ist ein Halbfabrikat, das erst durch Fertigungsprozesse eine individuelle Form erhält, eine Weiterverarbeitung ist vorgesehen.;;;;
Rohr (Technik);;;;;
Rohstoff;;;;;
Rossharnisch;Ein Rossharnisch ist eine Schutzwaffe oder ein Tierzubehör, das als Plattenrüstung auf ein Schlachtross gelegt wird und zu dessen Schutz dient.;;;;
Rückenmesser (Lateralretusche);;;;;
Säge (Schneidewerkzeug);Eine Säge ist ein Schneidewerkzeug zum Zerteilen harter Materialien, das aus einer Halterung besteht, in die ein gezähntes Blatt aus Stahl eingespannt ist.;;;;
Salbentopf;Ein Salbentopf ist ein kleines Vorratsgefäß für medizinische und kosmetische pastöse Zubereitungen. Es bestand früher in der Regel aus Keramik, heute meist aus Kunststoff. Klassisch ist der Binderand, später Stülpdeckel oder Steckdeckel, heute meist Schraubdeckel.;;;;
Salzstreuer;;;;;
Samen (Botanik);Ein Samen ist der Bestandteil einer Pflanze, der den befruchteten Keim enthält und aus dem eine neue Pflanze heranwachsen kann.;Samen sind häufig von einer schützenden Hülle umgeben.;;;
Sanduhr;;;;;
Sarg;Ein Sarg ist ein Behälter, in den Tote gelegt und beigesetzt werden.;Ein Sarg hat die Form eines langen Kastens. Er wird mit einem Deckel verschlossen und kann aus unterschiedlichen Materialien hergestellt sein.;;;
Sarggriff;Ein Sarggriff ist ein Griff, der an einem Sarg zum Tragen und Heben angebracht sein kann.;;;;
Sargnagel;;;;;
Sarkophag;Ein Sarkophag ist ein Sarg, der aus Stein gefertigt ist, mit Reliefs verziert, bemalt oder auch mit Inschriften versehen ist. Vorwiegend dient er der repräsentativen Bestattung höhergestellter Personen.;;;;
Sattelzeug;Sattelzeug ist ein Sammelbegriff für Gerätschaften, die zum Satteln eines Reittieres benötigt werden.;;;;
Saufeder;Eine Saufeder ist ein Spieß für die Jagd auf Wildschweine. An einem langen Schaft sitzt ein breiter und spitzer Klingenkopf, der zum Schaft hin über eine Querstange verfügt, die ein zu tiefes Eindringen in den Tierkörper verhindern soll.;;;;
Säule;Eine Säule ist eine Stütze, die einen kreisförmigen Querschnitt hat, im Gegensatz zum Rundpfeiler in der Regel mit Verjüngung und manchmal auch mit Entasis. Sie lässt sich gewöhnlich in Basis, Schaft und Kapitell gliedern.;;;;
Säulenbasis;;;;;
Säulenschaft;;;;;
Sax (Waffe);Ein Sax ist ein Kurzschwert, das als Hiebwaffe eine einschneidige kurze und schwere Klinge aufweist und für den Nahkampf geeignet ist.;;;;
Schaber (Steinwerkzeug);Ein Schaber ist ein Steinwerkzeug, das mindestens eine halbsteil kontinuierlich retuschierte Lateralseite aufweist.;Beim Schaber liegt die Arbeitskante lateral, auch wenn sie bis zum terminalen Ende reichen kann. Im Gegensatz zum Kratzer und zur Endretusche, die an einem terminalen Ende sitzen.;;;
Schachfigur;Eine Schachfigur ist ein Spielstein, der Bestandteil eines Schachspiels ist.;;;;
Schale (Gefäß);Eine Schale ist ein weites und flach gewölbtes Gefäß. Sie kann einen Fuß, Griffe und einen Deckel besitzen.;Der Übergang zur Schüssel und zum Teller sind fließend, aber bei Schalen ist die Gefäßhöhe relativ zur Breite üblicherweise kleiner als bei der Schüssel und größer als beim Teller. Zudem sind die einzelnen Gefäßzonen der Schale meist weniger deutlich abgesetzt als bei der Schüssel und sie besitzt in der Regel ein insgesamt kleineres Volumen als diese.;;;
Schaufel (Gerät);Eine Schaufel ist ein Gerät, das aus einem breiten Blatt aus Metall und einem daran befestigten langen Stiel besteht. Mit einer Schaufel können lose Materialien, wie zum Beispiel Schüttgut oder Schnee aufgenommen und bewegt werden.;;;;
Scheibe (Architekturelement);;;;;
Scheibe (Objektgattung);;;;;
Scheibenfibel;;;;;
Scheibenkeule;;;;;
Scheide (Behälter);Eine Scheide ist ein Behälter, dessen Hülse aus festem Material besteht, in die eine Stichwaffe bis zu ihrem Knauf hineingesteckt wird.;;;;
Schemel (Sitzmöbel);Ein Schemel ist ein Sitzmöbel ohne Lehnen, das mit einem, drei, vier oder fünf Beinen hergestellt wird.;;;;
Scherbe;Eine Scherbe ist ein Fragment eines zerbrochenen Objektes aus Keramik, Glas oder Porzellan.;;;;
Schere (Schneidewerkzeug);Eine Schere ist ein Schneidewerkzeug zum Zertrennen oder Einschneiden diverser Materialien mittels zweier gegeneinander beweglicher Klingen mit Schneiden.;Zum Öffnen und Schneiden müssen die Finger in den meist ringförmig auslaufenden Griffen verkantet werden. Das Schneiden erfolgt durch die gegeneinander gerichtete Bewegung der zwei Hebelenden.;;;
Schienenpanzer;;;;;
Schiff (Wasserfahrzeug);Ein Schiff ist ein größeres Wasserfahrzeug, das auf dem Wasser schwimmt und über einen eigenen Antrieb in Form von Segeln, Motoren oder Riemen verfügt. Es besitzt einen länglichen Rumpf, selten mehrere, der an einem oder beiden Enden schmal oder spitz zuläuft. Im Unterschied zum Boot ist es größer und aufgrund seiner Bauweise in der Regel seetüchtiger.;;;;
Schiffselement;Ein Schiffselement ist ein Fahrzeugteil, das fester Bestandteil von Wasserfahrzeugen ist.;;;;
Schiffsmast;Ein Schiffsmast ist ein Mast, der zur Befestigung von Segeln und weiterem Schiffszubehör wie beispielsweise Funkantennen, Windmessern oder akustischen Signalgebern dient.;;;;
Schild (Waffe);Ein Schild ist eine Panzerung, die der Abwehr von Hieben, Stichen und Wurfgeschossen dient.;;;;
Schildbuckel;;;;;
Schildfessel;;;;;
Schirmständer (Ablagemöbel);Ein Schirmständer ist ein Ständer für den Innenraum, der zum Abstellen und zur Aufbewahrung von Regenschirmen dient. Der Abschluss zum Boden hin ist geschlossen, um abtropfendes Regenwasser aufzufangen.;;;;
Schlacke (Reststoff);Schlacke ist ein Reststoff mit glasigem bis kristallinem Gefüge, der bei der Verhüttung von Erzen entsteht.;;;;
Schlaginstrument;Ein Schlaginstrument ist ein Musikinstrument, auf dem durch Schlagen oder Schütteln Klänge erzeugt werden.;;;;
Schlagstein;;;;;
Schlagzeug;;;;;
Schleifstein;;;;;
Schleudergeschoss;Ein Schleudergeschoss ist ein Geschoss, das mit einer Schleuderwaffe verschossen wird.;;;;
Schleuderkugel;;;;;
Schleuderwaffe;;Eine Schleuder ist eine Fernwaffe. Die Bauform variiert von Handschleudern bis hin zu Katapulten, die große Geschosse schleudern können.;;;
Schloss (Vorrichtung);Ein Schloss ist eine Vorrichtung, die dem sicheren Verriegeln von Gebäuden, Innenräumen oder Gegenständen dient.;;;;
Schlüssel (Schloss);Ein Schlüssel ist der Bestandteil eines Schlosses, mit dem dieses geöffnet oder geschlossen werden kann.;;;;
Schlussstein;Ein Schlussstein ist ein Gewölbedetail, das im Scheitelpunkt sitzt und häufig durch Form und/oder Verzierung hervorgehoben wird.;;;;
Schmelzofen;;;;;
Schmelztiegel;;;;;
Schminkpalette;;;"Benutzt für Reibplatten im kosmetischen Bereich; für die Verwendung zum Zermahlen von Kräutern, Getreiden, Farbpigmenten, Erzen usw. siehe Reibplatte.";;
Schmuckring;Ein Schmuckring ist Schmuck, der als offener oder geschlossener Reif an den verschiedensten Stellen des Körpers getragen wird.;;;;
Schmuckstück;Ein Schmuckstück ist Bekleidungszubehör, das als optische Aufwertung von Kleidung oder zur Zierde des Trägers am Körper getragen wird. Schmuck wird sowohl nach Form, Funktion und Material kategorisiert als auch nach Preis, Anlass und Art der Anbringung.;;Verwendet für Schmuckstücke, die am Körper oder an Kleidungsstücken getragen werden.;;
Schnalle (Verschluss);Eine Schnalle ist eine Schließe in Form eines Bügels mit einem oder mehreren an einem Riemen befestigten, beweglichen Dorn.;;;;
Schneide (Gerätebestandteil);;;;;
Schrank (Möbel);Ein Schrank ist ein Kastenmöbel, das mit Türen verschlossen wird und dem Verstauen verschiedenster Objekte dient.;Je nach Zweck und aufbewahrtem Inhalt variiert die Form des Schrankes und die Art und Weise wie er aufgestellt, eingebaut oder an der Wand angebracht wird.;;;
Schraube (Verbindungselement);;;;;
Schreibgerät;Ein Schreibgerät ist ein Gerät, mit dem man handschriftlich oder maschinell Texte auf einer beschreibbaren Fläche anbringen kann.;;;;
Schuh (Fußbekleidung);Ein Schuh ist Fußbekleidung, die durch unterschiedliche Einsatzzwecke, Konstruktionen, Formen und Verschlüssen eine breite Palette an Modellen aufweist. Die Herstellung erfolgt heutzutage fast ausschließlich maschinell und je nach Preiskategorie mit künstlichen oder natürlichen Werkstoffen.;;;;
Schuhnagel;;;;;
Schuhschnalle;;;;;
Schürhaken;Ein Schürhaken ist ein Gerät, das aus einer dünnen Eisenstange besteht, die in einem Haken endet. Es dient zur Umlagerung des heißen Brennmaterials innerhalb der Feuerstelle.;;;;
Schüssel (Gefäß);Eine Schüssel ist ein weites und tief gewölbtes Gefäß. Sie kann einen Fuß, Griffe und einen Deckel besitzen.;Der Übergang zur Schale ist fließend, aber bei Schüsseln ist die Gefäßhöhe relativ zur Breite üblicherweise größer und die einzelnen Gefäßzonen sind meist deutlicher abgesetzt als bei der Schale. Zudem besitzt die Schüssel in der Regel ein insgesamt größeres Volumen.;;;
Schusswaffe;Eine Schusswaffe ist eine Waffe, die ein Geschoss verschießt. Zu den Schusswaffen gehören Feuerwaffen und mechanische Schusswaffen.;;;;
Schwert (Waffe);;;;;
Schwertklinge;;;;;
Schwertscheide;;;;;
Segment (Mikrolith);;;;;
Seil;Seil ist ein längliches, gedrehtes oder geflochtenes Objekt, das über eine hohe Zugfestigkeit verfügt, flexibel und elastisch ist.;;;;
Sekretär (Möbel);Ein Sekretär ist ein Schreibmöbel, das kommodenartig bis schrankartig ist und eine klappbare oder herausziehbare Schreibfläche besitzt, die im geschlossenen Zustand eine gerade oder schräge Fläche bildet.;;;;
Sense;Eine Sense ist ein landwirtschaftliches Gerät, das aus einer langen, leicht gebogenen, spitz zulaufenden Klinge besteht, die an einem langen Stiel mit Handgriff befestigt ist. Es wird zum Mähen von größeren Gras- und Getreidefeldern verwendet.;;;;
Servierwagen;;;;;
Sessel;Ein Sessel ist ein weich gepolstertes Sitzmöbel für eine Person, das eine Rückenlehne und meist auch Armlehnen besitzt und deren Sitzfläche eher niedrig ist.;;;;
Sichel;Eine Sichel ist ein landwirtschaftliches Gerät zum Schneiden von Gras oder Getreide. Sie besitzt eine halbkreisförmig gebogene Klinge und einen hölzernen Stiel.;;;;
Sicheleinsatz;;;;;
Sieb (Gerät);Ein Sieb ist ein Gerät, das im Ganzen oder am Boden aus einem netzartigem Geflecht besteht und mit einem Rahmen oder Ähnlichem eingefasst ist. Es dient zur Sortierung von festen Bestandteilen eines Materials nach Korngröße oder der Trennung von flüssigen und festen Anteilen eines Stoffes.;;;;
Siegel;;;;;
Skalpell;Ein Skalpell ist ein Messer mit einer schmalen feststehenden Klinge. Es zählt zu den chirurgischen Instrumenten, wird aber auch zur Präparation in anderen Fachgebieten eingesetzt.;;;;
Skelett (Körperbestandteil);Ein Skelett ist der Bestandteil eines Tiers oder Menschen, der das tragende Gerüst aus festem Gewebe bildet. So handelt es sich dabei etwa bei Wirbeltieren um die Gesamtheit der Knochen oder bei bestimmten Fischen um die der Knorpel.;;;;
Skulptur;Eine Skulptur ist ein Bildwerk, das durch Abtragen aus festem Material herausgearbeitet wird.;;"Benutzt für Bildwerke, die aus einem Material herausgearbeitet werden; für visuelle Werke, die aus Materialien modelliert oder gegossen werden benutze Plastik.";;
Sofa;Ein Sofa ist ein gepolstertes Sitzmöbel für mehrere Personen mit Rückenlehne und Armlehnen.;;;;
Sonnenuhr;Eine Sonnenuhr ist eine Elementaruhr, welche die Zeit durch den Schattenwurf eines von der Sonne beschienenen Zeigers oder durch die Position eines kanalisierten Lichtstrahls abbildet.;;;;
Spachtel;Ein Spachtel ist ein Gerät, das ein flaches breites Blatt hat, welches in einem Handgriff steckt. Er dient zum Aufbringen und Glätten dickflüssiger Massen, kann aber auch zum Abkratzen dieser genutzt werden.;;;;
Spange (Befestigungselement);Eine Spange ist ein Befestigungselement, das aus zwei Teilen besteht, die ineinander greifen und so Objekte miteinander verbinden.;Spangen sind nicht nur in ihrer Funktion als Verschluss anzutreffen, sondern haben häufig auch schmückenden Charakter.;;;
Spatel;;;;;
Spaten (Werkzeug);Ein Spaten ist ein Gerät, mit dem der Erdboden umgegraben, abgestochen oder ausgehoben werden kann.;;;;
Spatha (Waffe);;;;;
Speer (Waffe);;;;;
Speerschleuder;;Die Speerschleuder verlängert den Wurfarm, wodurch die mit ihr beschleunigten Speere eine gegenüber von Hand geworfenen Speeren wesentlich erhöhte Geschwindigkeit erreichen.;;;
Spiegel (Optik);Ein Spiegel ist ein Einrichtungsgegenstand, der eine glatt polierte Oberfläche besitzt. Da diese Lichtstrahlen reflektiert, entsteht dadurch ein Abbild.;;;;
Spielbrett;Ein Spielbrett ist Bestandteil eines Brettspiels, auf dem Markierungen für den Spielverlauf angebracht sind.;;;;
Spielgerät;;;;;
Spielstein;Ein Spielstein ist ein Bestandteil eines Spielsets, der von den Spielern während des Spiels bewegt wird. Er ist üblicherweise klein und aus hartem Material. Seine Form reicht dabei von einfachen, in der Natur vorkommenden Objekten wie etwa tatsächlichen Steinen oder Muscheln bis hin zu detailreich gestalteten Figuren.;;;;
Spielzeug;Ein Spielzeug ist ein Freizeitgegenstand, der der spielerischen Beschäftigung dient und sich in erster Linie an Kinder richtet, aber auch eigens für Erwachsene und Haustiere bestimmt sein kann. Über die spielerische Komponente hinaus kann ein Spielzeug auch eine pädagogische oder sozialisierende Funktion besitzen.;;;;
Spindel (Textiltechnik);;;;;
Spinnrocken;Ein Spinnrocken ist ein Gerät, das zumeist stabförmig ist und auf das die unversponnenen Fasern gesteckt werden.;;;;
Spinnwirtel;Ein Spinnwirtel ist der Bestandteil der Handspindel, der als Schwungmasse dafür sorgt, dass die Spindel sich möglichst lange und gleichmäßig dreht.;;;;
Spirale (Objekttyp);;;;;
Spiralfibel;;;;;
Spitze (Bestandteil);Eine Spitze ist der Bestandteil eines Objektes, der an seinem Ende spitz zu läuft.;;;;
Spitzklinge (Lateralretusche);;;;;
Splint (Sicherungselement);Ein Splint ist ein Sicherungselement, das aus einem gespaltenen Stift aus Metall besteht und der Lagesicherung verbundener Bauteile dient. Er wird durch eine gebohrte Öffnung in  Radnaben, Schrauben und Bolzen gesteckt und durch Auseinanderbiegen seiner Enden befestigt.;;;;
Sporn (Bekleidungszubehör);Ein Sporn ist Bekleidungszubehör, das am Reitstiefel befestigt ist und aus einem gebogenen Metallstück mit Dorn oder Rädchen besteht. Beim Reiten wird der Sporn zum Antreiben des Pferdes genutzt.;Er besteht aus einem Bügel, an dem ein Dorn befestigt ist, der ein Rädchen trägt. Sporen wurden auch zu Rüstungen getragen.;;;
Stab (Objekttyp);Ein Stab ist ein Objekt, das länglich ist und einen meist runden Querschnitt hat.;;;;
Standfuß (Gefäßfuß);Ein Standfuß ist ein Gefäßfuß, der aus einer Standplatte oder einem Standring und einem mehr oder weniger ausgeprägten Schaft besteht. Er ist vom Gefäßkörper abgesetzt und in der Regel gesondert gearbeitet und appliziert.;Benutzt für einen massiven Standfuß, für mehrere kleine Füßchen (wie beim Grapen) siehe Standknubbe.;;;
Standknubbe;;;;;
Standplatte (Gefäßbestandteil);;;;;
Standring;;;;;
Standuhr;;;;;
Statue;;;;;
Statuette;Eine Statuette ist eine kleine Statue.;;;;
Steigbügel (Gerät);Ein Steigbügel ist ein Gerät, das dem im Sattel sitzenden Reiter als Fußstütze dient.;;;;
Steinartefakt;Ein Steinartefakt ist ein Artefakt aus Stein. Im engeren Sinne werden darunter vom Menschen geschlagene oder überschliffene Objekte aus Silikat- oder Felsgestein bezeichnet.;;Steinartefakt bezieht sich hier auf geschlagene oder geschliffene Steinartefakte. Dies schließt keine Baumaterialien wie Steinquader o.ä. ein.;;
Steinwerkzeug;;;;;
Stempel (Gerät);Ein Stempel ist ein Gerät, das aus einer Fläche, an der ein Griff befestigt ist, und in die ein Text oder eine Abbildung eingeschnitten ist, besteht.;Die Informationen auf der Fläche können durch Farbauftrag oder Abdruck auf andere Objekte übertragen werden.;;;
Stichel (Steinwerkzeug);;;;;
Stichellamelle;;;;;
Stielspitze;Eine Stielspitze ist eine Spitze, die einen beidseitig retuschierten Stiel aufweist, was sie von der einseitig retuschierten Kerbspitze unterscheidet.;;;;
Stöpsel (Verschluss);Ein Stöpsel ist ein Verschluss von zylindrischer oder konischer Form, der dem dichten Verschließen von kleinen Öffnungen in Behältern dient. Im Gegensatz zum Deckel wird der Stöpsel in ein Loch hineingedrückt.;;;;
Stößel (Gerät);Ein Stößel ist ein Gerät, das zur Zerkleinerung von Material wie Gewürzen in einem Mörser oder einem schalenförmigen Gefäß dient. Die Form erinnert an eine Keule mit gerundetem Ende.;;;;
Streuer (Behälter);;;;;
Strigilis;Ein Strigilis ist ein Gerät, das ein gebogenes Blatt besitzt. Es wurde in der Antike vor allem in Badeanlagen benutzt, um feuchte oder ölige Schmutzschichten vom Körper abzuschaben.;;"Verwendet für das antike Instrument zum Abschaben von Öl, Schweiß und Staub vom Körper; für das Werkzeug zur Oberflächenbearbeitung siehe Schabeisen (wk008712) (de).";;
Stuck (Architektur);Stuck ist ein Architekturelement, das aus dem gleichnamigen Material hergestellt wird und der Herstellung frei aufgetragener Dekorationen, dem Ziehen von Profilen mit Schablonen oder dem geschliffenen und polierten Wandputz dient.;;;;
Stuhl (Möbel);Ein Stuhl ist ein Sitzmöbel für eine Person, das eine Rückenlehne besitzt und deren Sitzfläche eher hoch ist. Stühle können auch über Armlehnen verfügen und teilweise gepolstert sein.;;;;
Stütze (Architektur);Eine Stütze ist ein Bauteil, das die Form eines aufrechten, meist stabförmigen Baugliedes hat, das je nach Form als Säule oder Pfeiler bezeichnet wird.;;;;
Tabakspfeife;Eine Tabakspfeife ist ein Gerät, das zum Rauchen von Tabak verwendet wird. Sie besteht aus Kopf, Rohr und Mundstück.;;;;
Tabernakel;Ein Tabernakel ist ein liturgischer Behälter, der verschließbar ist und in einer katholischen Kirche der sicheren Aufbewahrung der konsekrierten Hostien, des Allerheiligsten, dient.;Die Verwendung des Begriffs „Tabernakel“ im heutigen Sinn beginnt im 13. Jh. Bis dahin wird mit „tabernaculum“ lediglich ein Gefäß bezeichnet, in dem die konsekrierten Hostien aufbewahrt werden.;;;
Tablett;Ein Tablett ist ein Behälter, der zum Transport und Servieren von Speisen, Getränken und Geschirr genutzt wird. Er hat die Form einer Platte mit erhöhtem Rand und seitlichen Handhaben.;;;;
Tafel (Informationsträger);;;;;
Tasche;Eine Tasche ist ein Behälter, meist aus flexiblem Material und häufig mit einer Tragevorrichtung versehen, in dem Personen Gegenstände transportieren können.;;;;
