Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Beil;;Ein Beil dient zum Fällen von Bäumen oder der Bearbeitung von Holz.;Benutzt für das vollständige Werkzeug, bestehend aus Beilklinge und Beilschaft. Bei Fehlen des Beilschaftes verwende Beilklinge.;;
Beilklinge;;Die Oberfläche der Beilklinge von Steinbeilen wird partiell oder ganz geschliffen. Längs- und Querschnitt sind symmetrisch. Die Beilklinge wird längs zum Schaft geschäftet.;Benutzt für die schneidende Klinge des Beils, ist der Schaft erhalten s. Beil;;
Beinschiene (Kleidung);Eine Beinschiene ist ein Rüstungsteil, das zum Schutz der Schienbeine dient.;;;;
Beitel;;Ein Beitel besteht aus einem Griff und einer Klinge. Er wird in Verbindung mit einem Hammer oder Schlägel verwendet.;;;
Bekleidungszubehör;;;;;
Beschlag (Objekt);Ein Beschlag ist ein Verbindungselement und kann Bestandteil von verschiedenen Objekten sein. Er ist meist aus Metall und dient je nach Ausprägung zum Bedienen und Bewegen, zum Schließen und Sichern, zum Schutz und gleichzeitig oder ausschließlich zur Zierde des Objektes, an dem es angebracht ist. Dies können Teile von Gebäuden, etwa Türen und Fenster oder Möbel, Kleidung, Waffen, kleinere Objekte und Zubehör sein.;;;;
Besteck (Küchengerät);Besteck ist ein Küchengerät, das die Gesamtheit der zum Essen benutzten Geräte, wie Messer, Gabel und Löffel darstellt.;;;;
Bett (Möbel);Ein Bett ist ein Liegemöbel, das als Schlafstätte, Liegestätte oder Ruhestätte dient und sich aus einem Gestell mit Auflegematratze und Federbetten zusammensetzt.;;;;
Bifazialer Schaber;;;;;
Bifazielle Spitze;;;;;
Blattförmiger Schaber;;;;;
Blattspitze;;;;;
Blech (Objekttyp);;;;;
Bleirute;;;;;
Bleiverglasung;Eine Bleiverglasung ist eine Verglasung, die aus Butzenscheiben oder kleinen Glasstücken besteht und mit Bleiruten eingefasst ist.;;;;
Bodenfliese;;;;;
Bodenplatte (Bauteil);;;;;
Bodenprobe;Eine Bodenprobe ist eine Materialprobe, die aus Erdboden besteht, der für unterschiedliche naturwissenschaftliche Fragestellungen analysiert werden soll.;;;;
Bodenscherbe;Eine Bodenscherbe ist eine Scherbe aus dem unteren Abschluss eines Gefäßes.;;"Benutzt für Scherben aus Ton, Glas und Porzellan; für Fragmente aus anderen Materialien benutze Gefäßboden.";;
Bodenstein;;;;;
Bodenziegel;Eine Bodenziegel ist Baukeramik, die abriebfest ist und zur Nutzung als Bodenbelag im Innenbereich und Außenbereich verwendet wird. Die aus tonhaltigem Lehm gebrannten Ziegeln haben eine rechteckige bis quadratische Form.;;;;
